pair,sector,cointegration_pvalue,correlation,half_life,hedge_ratio,phi,sigma_eq,cointegration_pvalue_log,correlation_log,half_life_log,hedge_ratio_log,phi_log,sigma_eq_log,period
EOG-SLB,Energy,1.1691412264022625e-06,0.6521649067956907,5.1666053476163265,0.5830273374954444,0.8658408889543427,3.0155709170993696,1.1847525203989491e-06,0.6431602771492717,5.819531880082038,1.5163986671714595,0.8808929661623962,0.06016372111204961,2026-05-01 to 2026-06-30
BA-UPS,Industrials,0.0002878738177636642,-0.3982868914441251,2.482930059902793,-0.2708266699786052,0.7208349958165627,4.736791839555934,0.00025342374684319424,-0.39571748674413054,2.472496383990609,-0.5894422508224344,0.7196569487227295,0.04617934172712657,2026-05-01 to 2026-06-30
ABT-DHR,Healthcare,0.00038317791737588403,0.8197484209648032,2.1550764096920703,2.5971689360816983,0.6783653807156721,4.733410875832881,0.00036871270035995486,0.8130290201986548,2.249425746257862,1.2795766977488618,0.6918559406937247,0.027128991380604952,2026-05-01 to 2026-06-30
CVX-SLB,Energy,0.001121041761989104,0.9075252535078775,1.457803832114763,0.45938344878744886,0.5245264381323299,1.4834680892925354,0.000982651413408844,0.9126578578634896,1.5070906520225427,1.6218759564997018,0.5400759870484703,0.027850356446580057,2026-05-01 to 2026-06-30
CMCSA-TMUS,CommServices,0.0017307945514080233,0.7960017692821816,1.7188501633177877,3.4738820084792286,0.5967378685167024,3.578140371905682,0.0022043727813156927,0.789221353636736,1.7595908661356439,0.4500408368677369,0.6060748018758403,0.01975208205163084,2026-05-01 to 2026-06-30
META-NFLX,CommServices,0.002875970505349425,0.8077459362756623,1.9447301800867516,0.19474605436166453,0.6435766834610316,3.2742709081157733,0.002628831857729872,0.819389918957037,1.9116443586644094,1.437880321830983,0.6374078800702135,0.03972779410949528,2026-05-01 to 2026-06-30
PEP-WMT,Staples,0.005224243793595585,0.8337970001704851,2.84939221904595,1.160388323038993,0.7567385858897204,3.5897434516318554,0.005400426323189839,0.8396944657792363,2.7532741607316726,1.3846268921556013,0.7482462188306943,0.02853098293388198,2026-05-01 to 2026-06-30
AVGO-MSFT,Tech,0.0032076369037166807,0.782891066386907,1.5398786803192077,0.6698305708131846,0.5498689673291275,14.927626394850236,0.0066303096922270925,0.7827793142723244,1.5608292042134628,0.6936672619362114,0.5559109358738339,0.03715681750623252,2026-05-01 to 2026-06-30
MCD-TSLA,Discretionary,0.0068603524217498895,-0.14017094567396174,3.5870401538057024,-0.5168149908619877,0.8067634732707007,19.96510957205806,0.007508760608296298,-0.12364620073819668,3.5188273807398742,-0.30756152298830663,0.8030175664899473,0.04868112966232564,2026-05-01 to 2026-06-30
CMCSA-DIS,CommServices,0.008908182863875328,0.4961074059985308,2.239764173538933,1.0978703040885953,0.690526713147331,2.3959451253019335,0.011185858707536888,0.4954693097531631,2.2699398288536345,0.25975872254436616,0.6946407249437979,0.023579542127195374,2026-05-01 to 2026-06-30
AMGN-GILD,Healthcare,0.015290073549147467,-0.5923785548116427,1.5374384103085403,-0.21252373114648138,0.5491545053691996,3.0582847901514794,0.014076682034447816,-0.5921029987510349,1.5204126290220523,-0.5616987026602533,0.5441058780169526,0.02376441102367646,2026-05-01 to 2026-06-30
MCD-SBUX,Discretionary,0.013712774828501122,0.008197763443628655,8.79823273844399,0.005488157497992141,0.9212174534175221,3.5875953450398255,0.014439499415302063,0.009729941259087807,8.857039289511755,0.017914317044407824,0.9217405322588159,0.03570800151191439,2026-05-01 to 2026-06-30
